unit_id,label_zh,label_en,symbol,alias,quantitykind,dimensionVec,conversionVal,basicUnit,frequency,keywords_zh,description_zh,description_en,informativeReference
EV-PER-K,电子伏特每开尔文,Electron Volt per Kelvin,eV/K,,HeatCapacity,A0E0L2I0M1H-1T-2D0,1.6e-19,J-PER-K,39.73175647543121,,它用于描述物质的热性质，表示每个电子伏特的能量变化引起的温度变化。是热电效应的关键参数之一，可用于研究材料的导电性和热传导性。,"(Electron Volt per Kelvin is a unit for Heat Capacity expressed as (ev/K).""",
EV-PER-M,电子伏特每米,Electronvolt Per Metre,eV/m,,TotalLinearStoppingPower,A0E0L1I0M1H0T-2D0,1.6e-19,J-PER-M,39.73175647543121,,它是一个表示电场强度的物理单位，用于描述电子的动能。每个电子伏特/米表示电场的强度，即每个电场的电势差。,,
EV-PER-T,电子伏特每特斯拉,Electron Volt per Tesla,eV/T,,MagneticDipoleMoment,A0E1L2I0M0H0T0D0,1.6e-19,A-M2,39.73175647543121,,电子伏特每特斯拉是一个用于描述磁场中粒子的运动所产生的能量单位，通常用于研究电子的行为和磁性材料的性质。,"""Electron Volt per Tesla"" is a unit for  Magnetic Dipole Moment expressed as (eV T^{-1}).""",
EV-SEC,电子伏特秒,Electron Volt Second,eV s,,AngularMomentum,A0E0L2I0M1H0T-1D0,1.6e-19,J-SEC,45.611172962299776,,电子伏特秒是量子力学中的一个单位，常用于描述微观粒子的能量和动量。其常用的别名为Planck单位，因为它与普朗克常数有关。,"""Electron Volt Second"" is a unit for  Angular Momentum expressed as (eV s).""",
E_h,哈特里,Hartree,E_h,,Energy,A0E0L2I0M1H0T-2D0,4.36e-18,J,28.253291547092918,"能量,物质,磁场",哈特里是一个能量单位，用于描述原子和分子的能量状态。它通常用于计算原子和分子之间的相互作用以及其它化学和物理性质。,"""""<p>The (Hartree) (symbol: (E_h) or (Ha)), also known as the (text{Hartree,Energy}), is the atomic unit of energy. The hartree energy is equal to the absolute value of the electric potential energy of the hydrogen atom in its ground state. The energy of the electron in an H-atom in its ground state is (-E_H), where (E_H= 2 R_infty cdot hc_0). The 2006 CODATA recommended value was (E_H = 4.35974394(22) times 10^{-18} J = 27.21138386(68) eV).</p>

<dt class=""size-14"">Definition:</dt>

<dd>(E_H= frac{e^2}{4pi epsilon_0 a_0 })<br/>

where, (e) is the elementary charge, (epsilon_0) is the electric constant, and (a_0) is the Bohr radius.</dd>""""""",http://en.wikipedia.org/wiki/Hartree?oldid=489318053
EarthMass,地球质量,Earth mass,M⊕,,Mass,A0E0L0I0M1H0T0D0,5.976e+24,KiloGM,32.57706410042326,"重力,大气压,地心引力",它是用于测量天体质量的单位，等于地球的质量。常见于天文学领域。,"Earth mass  is the unit of mass equal to that of the Earth. In SI Units, (1 M_{oplus} = 5.9722 times 1024 kg). Earth mass is often used to describe masses of rocky terrestrial planets. The four terrestrial planets of the Solar System, Mercury, Venus, Earth, and Mars, have masses of 0.055, 0.815, 1.000, and 0.107 Earth masses respectively.""","http://en.wikipedia.org/wiki/Earth_mass?oldid=495457885,http://baike.baidu.com/view/549089.htm"
EastCaribbeanDollar,东加勒比海元,East Caribbean Dollar,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"加勒比海,海域,航海,海岛",,"Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines",http://en.wikipedia.org/wiki/East_Caribbean_dollar?oldid=493020176
EgyptianPound,埃及镑,Egyptian Pound,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,兑换,开销",,Egypt,"http://en.wikipedia.org/wiki/Egyptian_pound?oldid=494670285,http://baike.baidu.com/view/87433.htm"
ElementaryCharge,元电荷,Elementary Charge,,,ElectricCharge,A0E1L0I0M0H0T1D0,16.02176565,C,10.0,"电子,电子运动,电荷量",,"(Elementary Charge, usually denoted as (e), is the electric charge carried by a single proton, or equivalently, the negation (opposite) of the electric charge carried by a single electron. This elementary charge is a fundamental physical constant. To avoid confusion over its sign, e is sometimes called the elementary positive charge. This charge has a measured value of approximately (1.602176565(35) times 10,coulombs). In the cgs system, (e) is (4.80320425(10) times 10, statcoulombs).""",
EthiopianBirr,埃塞俄比亚的比尔,Ethiopian Birr,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,钱,买卖,兑换",,Ethiopia,http://en.wikipedia.org/wiki/Ethiopian_birr?oldid=493373507
Euro,欧洲,Euro,,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"国家,环境,文化",,European Union Euro,http://en.wikipedia.org/wiki/Euro?oldid=495293446
EuropeanCompositeUnit,欧洲货币合成单位,European Composite Unit (EURCO) (Bonds market unit),,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"欧元,欧洲,货币",,Bonds market unit,
EuropeanMonetaryUnit,欧洲货币单位,European Monetary Unit (E.M.U.-6) (Bonds market unit),,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"欧元,欧洲,美元,货币",,Bonds market unit,",http://baike.baidu.com/view/42899.htm"
EuropeanUnitOfAccount17,欧洲的单位属于账户seventeen,European Unit of Account 17 (E.U.A.-17) (Bonds market unit),,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"欧元,欧洲,币值",,Bonds market unit,
EuropeanUnitOfAccount9,欧洲的单位属于账户nine,European Unit of Account 9 (E.U.A.-9) (Bonds market unit),,,Currency,A0E0L0I0M0H0T0D1,,,10.0,"货币,欧元,欧盟,英镑,法郎",,Bonds market unit,
ExaBYTE,艾字节,ExaByte,EB,,Dimensionless,A0E0L0I0M0H0T0D1,,,10.0,,"['CountingUnit', 'Unit']","The exabyte is a multiple of the unit byte for digital information. The prefix exa means 10^18 in the International System of Units (SI), so ExaByte is 10^18 Bytes.","https://en.wikipedia.org/wiki/Byte#Multiple-byte_units,http://baike.baidu.com/view/2536975.htm"
ExaC,艾库仑,ExaCoulomb,EC,,ElectricCharge,A0E1L0I0M0H0T1D0,1e+18,C,36.512577342834376,,艾库仑是电荷量的国际制单位之一，表示电荷量是库仑的10的18倍。常用于描述电场和电荷的强度。,"An ExaCoulomb is (10^{18} C).""",
ExaJ,艾焦耳,Exajoule,EJ,,Energy,A0E0L2I0M1H0T-2D0,1e+18,J,40.40207729693906,,艾焦耳是能量的国际制单位，它表示一亿亿（即10的18次方）焦耳。通常用于描述大量的能量，例如全球能源消耗量等。,,
ExbiBYTE,艾字节,ExbiByte,EiB,,Dimensionless,A0E0L0I0M0H0T0D1,,,10.0,"存储容量,数据,硬盘","['CountingUnit', 'Unit']",The exbibyte is a multiple of the unit byte for digital information. The prefix exbi means 1024^6,"https://en.wikipedia.org/wiki/Byte#Multiple-byte_units,http://baike.baidu.com/view/2536975.htm"
F,法拉第,Faraday,,,ElectricCharge,A0E1L0I0M0H0T1D0,96485.3399,C,41.56534157238034,"电容,电压,电流",法拉第是一个电容单位，表示在电容器的两个导体板上，当存储一库仑电荷时，产生的电势差为一伏特。该单位以英国物理学家迈克尔·法拉第的名字命名。,"""Faraday"" is a unit for  Electric Charge expressed as (F).""",
FA,面积分数,Fractional area,fa,,SolidAngle,A0E0L0I0M0H0T0D1,12.5663706,SR,10.0,"平方米,面积,面积单位",,"""Fractional area"" is a unit for  Solid Angle expressed as (fa).""",
FARAD,法拉,Farad,F,,Capacitance,A0E2L-2I0M-1H0T4D0,1.0,FARAD,48.36148208297328,"电容,电流,电压",法拉是电容的单位，表示电容器中所储存电荷的比率。一个法拉电容器，在电子学中比较少用，通常使用毫法或微法级别的电容容量。,"The SI unit of electric capacitance. Very early in the study of electricity scientists discovered that a pair of conductors separated by an insulator can store a much larger charge than an isolated conductor can store. The better the insulator, the larger the charge that the conductors can hold. This property of a circuit is called capacitance, and it is measured in farads. One farad is defined as the ability to store one coulomb of charge per volt of potential difference between the two conductors. This is a natural definition, but the unit it defines is very large. In practical circuits, capacitance is often measured in microfarads, nanofarads, or sometimes even in picofarads (10-12 farad, or trillionths of a farad). The unit is named for the British physicist Michael Faraday (1791-1867), who was known for his work in electricity and electrochemistry.","http://en.wikipedia.org/wiki/Farad?oldid=493070876,http://baike.baidu.com/subview/862228/7378744.htm"
FARAD-PER-KiloM,法拉每千米,Farad Per Kilometre,F/km,,Permittivity,A0E2L-3I0M-1H0T4D0,0.001,FARAD-PER-M,43.495781194899855,,法每千米是电容率的单位，通常用于描述电磁波的传播特性，例如在电力传输和通信系统中。其中，法表示电容量的单位，而千米表示长度的单位。,,
FARAD-PER-M,法拉每米,Farad per Metre,F/m,,Permittivity,A0E2L-3I0M-1H0T4D0,1.0,FARAD-PER-M,47.085100642106646,,法拉每米是电介质中电容率的表达单位，表示在单位长度内的电场导电性能。在电学领域中用于描述电场强度和电位差之间的关系。,"Farad Per Meter  is a unit in the category of Electric permittivity. It is also known as farad/meter. This unit is commonly used in the SI unit system. Farad Per Meter has a dimension of M-1L-3T4I2 where M is mass, L is length, T is time, and I is electric current. This unit is the standard SI unit in this category.""",
FARAD_Ab,绝对法拉,Abfarad,abF,,Capacitance,A0E2L-2I0M-1H0T4D0,1000000000.0,FARAD,14.889507043342626,"电容,电压,电流",绝对法拉是一个电容单位，等于公制单位法拉的十亿倍。它通常用于描述电容器的电容大小。,"An abfarad is an obsolete electromagnetic (CGS) unit of capacitance equal to (10^{9}) farads (1,000,000,000 F or 1 GF). The absolute farad of the e.m.u. system, for a steady current identically (abC/abV), and identically reciprocal abdaraf. 1 abF = 1 GF.""","http://en.wikipedia.org/wiki/Abfarad?oldid=407124018','http://www.oxfordreference.com/view/10.1093/acref/9780198605225.001.0001/acref-9780198605225-e-13"
FARAD_Ab-PER-CentiM,绝对法拉每厘米,Abfarad per Centimetre,F/cm,,Permittivity,A0E2L-3I0M-1H0T4D0,100000000000.0,FARAD-PER-M,35.12778743499219,,这是一个电感单位，用于描述电场的电感强度。它表示每厘米长度内的电场强度产生单位电感的程度。它的缩写为aF/cm。,"The absolute dielectric constant of free space is defined as the ratio of displacement to the electric field intensity. The unit of measure is the abfarad per centimeter, a derived CGS unit.",
FARAD_Stat,静电法拉,Statfarad,statF,,Capacitance,A0E2L-2I0M-1H0T4D0,1.11e-12,FARAD,14.904107800190916,"电容,绝缘体,充电,放电",静电法拉是一个用于描述电容的单位，在静电学中经常使用。它是以CGS单位制为基础的单位，而在国际单位制中并不常用。,"Statfarad (statF) is a unit in the category of Electric capacitance. It is also known as statfarads. This unit is commonly used in the cgs unit system. Statfarad (statF) has a dimension of (M^{-1}L^{-2}T^4I^2) where M is mass, L is length, T is time, and I is electric current. It can be converted to the corresponding standard SI unit F by multiplying its value by a factor of 1.11265E-012.""",http://www.efunda.com/glossary/units/units--electric_capacitance--statfarad.cfm
FATH,英寻,Fathom,fath,,Length,A0E0L1I0M0H0T0D0,1.8288,M,30.05935935424124,"距离,海洋,航海",英寻是英国和美国海洋渔业中常用的长度单位，一般等于6英尺，用于测量水深和深度。现在已经很少使用了。,"A fathom = 1.8288 meters, is a unit of length in the imperial and the U.S. customary systems, used especially for measuring the depth of water. There are two yards in an imperial or U.S. fathom. Originally based on the distance between the mans outstretched arms, the size of a fathom has varied slightly depending on whether it was defined as a thousandth of an (Admiralty) nautical mile or as a multiple of the imperial yard.  Abbreviations: f, fath, fm, fth, fthm.","http://en.wikipedia.org/wiki/Fathom?oldid=493265429,http://baike.baidu.com/view/1746774.htm"
FBM,板英尺,Board Foot,Bf,,Volume,A0E0L3I0M0H0T0D0,0.00236,M3,29.82959673262876,"材料,木板,长度",它是一个用于测量木材的体积单位，等于1英尺长，1英寸厚，1英寸宽的木板所占据的体积。通常用于计算木材的价格和数量。,"The board-foot is a specialized unit of measure for the volume of lumber in the United States and Canada. It is the volume of a one-foot length of a board one foot wide and one inch thick. Board-foot can be abbreviated FBM (for foot, board measure), BDFT, or BF. Thousand board-feet can be abbreviated as MFBM, MBFT or MBF. ",
FC,英尺烛光,Foot Candle,fc,,LuminousFluxPerArea,A0E0L-2I1M0H0T0D0,1.0,LUX,25.92542446139558,"照明,光源,光照强度",英尺烛光是一种光通量密度单位，表示在距光源1英尺处的照明强度，以1烛光为单位。常用于衡量照明设备的亮度和效率。,"""Foot Candle"" is a unit for  Luminous Flux Per Area expressed as (fc).""","http://en.wikipedia.org/wiki/Foot-candle?oldid=475579268,http://baike.baidu.com/view/11772409.htm"
FM,费米,fermi,,,Length,A0E0L1I0M0H0T0D0,1e-15,M,37.30113578782837,"粒子物理,小到,质量",,"The (fermi), or (femtometer) (other spelling (femtometre), symbol (fm)) is an SI unit of length equal to (10^{-15} metre). This distance is often encountered in nuclear physics as a characteristic of this scale. The symbol for the fermi is also (fm).""",http://en.wikipedia.org/wiki/Fermi_(unit)
FR,富兰克林,Franklin,Fr,,ElectricCharge,A0E1L0I0M0H0T1D0,1.0,C,30.846345716339748,"电荷,静电,电子",富兰克林是一种静电单位，用于测量电荷量。它也可以用作电磁单位之一，表示电荷密度或电场强度。,"""Franklin"" is a unit for  Electric Charge expressed as (Fr).""",http://en.wikipedia.org/wiki/Franklin?oldid=495090654
FRAME-PER-SEC,帧每秒,Frame per Second,fps,,VideoFrameRate,A0E0L0I0M0H0T-1D0,1.0,FRAME-PER-SEC,50.65885880231943,,帧每秒是视频中每秒钟呈现的画面数量，常用于描述视频的流畅度和质量。在电影和视频制作领域中非常常见。,"""Frame per Second"" is a unit for  Video Frame Rate expressed as (fps).""",
FT,英尺,Foot,ft,,Length,A0E0L1I0M0H0T0D0,0.3048,M,69.33463125909702,"长度,尺寸,高度,建筑",英尺是英制计量系统中的长度单位，等于12英寸或0.3048米。常用于英国、美国等国家。,"A foot is a unit of length defined as being 0.3048?m exactly and used in the imperial system of units and United States customary units. It is subdivided into 12?inches. The foot is still officially used in Canada and still commonly used in the United Kingdom, although the latter has partially metricated its units of measurement. ",",http://baike.baidu.com/view/166135.htm"
FT-LA,英尺朗伯,Foot Lambert,ft·L,,Luminance,A0E0L-2I1M0H0T0D0,3.4262591,CD-PER-M2,42.21642857953723,,英尺朗伯是一种用于测量光亮度的单位，表示一个标准蜡烛在1英尺距离处对一平方英尺面积照射的亮度。它通常用于测量投影仪或显示器的亮度。,"""Foot Lambert"" is a C.G.S System unit for  Luminance expressed as (ft-L).""",
FT-LB_F,英尺磅力,Foot Pound Force,ft·lbf,,Energy,A0E0L2I0M1H0T-2D0,1.35581807,J,44.012753157741166,,英尺磅力是功的单位，常用于衡量机械设备的输出功率。它表示在1英尺的距离上施加1磅的力所做的功。,"""Foot Pound Force"" is an Imperial unit for  Energy And Work expressed as (ft-lbf).""",http://en.wikipedia.org/wiki/Foot-pound_force?oldid=453269257
FT-LB_F-PER-FT2,英尺磅每平方英尺,Foot Pound per Square Foot,ft·lbf/ft2,,EnergyPerArea,A0E0L0I0M1H0T-2D0,14.5939042,J-PER-M2,51.2042123856128,,它是能量每面积的单位，常用于描述建筑材料的热传导能力。1英尺磅每平方英尺等于1热通量单位（BTU）/（小时·英尺^2）= 1.285瓦特/（米·开尔文）。,"""Foot Pound per Square Foot"" is an Imperial unit for  Energy Per Area expressed as (ft-lbf/ft^{2}).""",
FT-LB_F-PER-FT2-SEC,英尺磅力每平方英尺秒,Foot Pound Force per Square Foot Second,ft·lbf/ft2·s,,PowerPerArea,A0E0L0I0M1H0T-3D0,14.5939042,W-PER-M2,49.303218354484784,,它是一个压力单位，用于描述单位面积上的力对时间的变化速率。通常用于流体力学和流体动力学的计算。,"""Foot Pound Force per Square Foot Second"" is an Imperial unit for  Power Per Area expressed as (ft cdot lbf/(ft^2 cdot s)).""",
FT-LB_F-PER-HR,英尺磅力每小时,Foot Pound Force per Hour,ft·lbf/h,,Power,A0E0L2I0M1H0T-3D0,0.003766161,W,46.46735068987535,,它是功率的单位，表示每小时所产生的力矩。常用于描述机械设备的动力或输出功率。,"""Foot Pound Force per Hour"" is an Imperial unit for  Power expressed as (ft-lbf/hr).""",
FT-LB_F-PER-M2,英尺磅力每平方米,Foot Pound Force per Square Metre,ft·lbf/m2,,EnergyPerArea,A0E0L0I0M1H0T-2D0,1.35581807,J-PER-M2,46.46735068987535,,它是一个压强单位，表示单位面积上承受的力量大小。常用于描述材料的强度和硬度，如金属的抗拉强度。,"""Foot Pound Force per Square Meter"" is a unit for  Energy Per Area expressed as (ft-lbf/m^{2}).""",
FT-LB_F-PER-MIN,英尺磅力每分钟,Foot Pound Force per Minute,ft·lbf/min,,Power,A0E0L2I0M1H0T-3D0,0.022596968,W,46.46735068987535,,英尺磅力每分钟是功率的单位，用于表示功率的大小。常用于机械工程和能源领域，特别是用于描述引擎输出功率。另外，它的别名马力是指一种功率的单位，相当于每分钟产生745.7英尺磅力的功率。,"""Foot Pound Force per Minute"" is an Imperial unit for  Power expressed as (ft-lbf/min).""",
FT-LB_F-PER-SEC,英尺磅力每秒,Foot Pound Force per Second,ft·lbf/s,,Power,A0E0L2I0M1H0T-3D0,1.35581807,W,46.46735068987535,,这是一个能量单位，表示在一秒钟内以一英尺的高度提升一磅物体所需的力量。常用于描述机械能的转换和输出。,"""Foot Pound Force per Second"" is an Imperial unit for  Power expressed as (ft-lbf/s).""",
FT-LB_F-SEC,英尺磅力秒,Foot Pound Force Second,ft·lbf·s,,AngularMomentum,A0E0L2I0M1H0T-1D0,1.35581807,J-SEC,46.46735068987535,,英尺磅力秒是能量的单位，用于测量物体在力的作用下移动的能力或工程中机械工作的能力。其等于一磅力作用下移动一英尺所做的功，常用于描述轴承、电机和传动系统的输出功率。,"""Foot Pound Force Second"" is a unit for  Angular Momentum expressed as (lbf / s).""",
FT-PDL,英尺磅达,Foot Poundal,ft-pdl,,Energy,A0E0L2I0M1H0T-2D0,0.04214011,J,36.97452904332455,,英尺磅达是能量的单位，表示1磅达（poundal）在1英尺上所做的功。它是一个英制单位，已经很少使用了。,"""Foot Poundal"" is an Imperial unit for  Energy And Work expressed as (ft-pdl).""",
FT-PER-DEG_F,英尺每华氏度,Foot Per Degree Fahrenheit,ft/°F,,LinearThermalExpansion,A0E0L1I0M0H-1T0D0,0.54864,M-PER-K,44.26895695524623,,它是热传导系数的单位，表示在每英尺长度内，物体温度变化1华氏度时的热通量。常用于热传导和热传递方面的计算。,,
FT-PER-HR,英尺每小时,Foot per Hour,ft/h,,Velocity,A0E0L1I0M0H0T-1D0,8.47e-05,,56.21050894378119,,英尺每小时是衡量速度或速率的单位，表示每小时内移动的距离。常用于测量机械设备的速度或流体的流量。,"""Foot per Hour"" is an Imperial unit for  Linear Velocity expressed as (ft/hr).""",
FT-PER-MIN,英尺每分,Foot per Minute,ft/min,,Velocity,A0E0L1I0M0H0T-1D0,0.00508,,55.21368024709526,,它是一个速度单位，用于测量物体在一分钟内移动的英尺数。常用于机械和运输行业中。,"""Foot per Minute"" is an Imperial unit for  Linear Velocity expressed as (ft/min).""",
FT-PER-SEC,英尺每秒,Foot per Second,ft/s,,Velocity,A0E0L1I0M0H0T-1D0,0.3048,,56.44751098915427,,英制和美制单位制的速度单位，表示每秒移动的距离为英尺。常用于描述物体的速度、速率和流速等。,"(foot per second) (plural (feet per second)) is a unit of both speed (scalar) and velocity (vector quantity, which includes direction). It expresses the distance in feet  traveled or displaced, divided by the time in seconds . The corresponding unit in the International System of Units (SI) is the (metre per second). Abbreviations include (ft/s), (ft/sec) and (fps), and the rarely used scientific notation (ft,s).""",http://en.wikipedia.org/wiki/Foot_per_second?oldid=491316573
FT-PER-SEC2,英尺每平方秒,Foot per Square Second,ft/s2,,Acceleration,A0E0L1I0M0H0T-2D0,0.3048,M-PER-SEC2,41.69018378909627,,表达物体在自由落体中的加速度，即1秒钟内从静止状态下，速度增加每秒16英尺（4.9米）。常用于力学和工程学计算中。,"(Foot per Square Second) is an Imperial unit for (Linear Acceleration) expressed as (ft/s^2).""",
FT2,平方英尺,Square Foot,ft2,,Area,A0E0L2I0M0H0T0D0,0.09290304,M2,58.98073019196088,"面积,房子,地板,建筑",平方英尺是用于测量面积的单位，等于一个正方形的面积，其边长为1英尺。常用于房地产和房屋建筑领域。,"The square foot (plural square feet; abbreviated (ft^2) or (sq , ft)) is an imperial unit and U.S. customary unit of area, used mainly in the United States, Canada, United Kingdom, Hong Kong, Bangladesh, India, Pakistan and Afghanistan. It is defined as the area of a square with sides of 1 foot in length.""",",http://baike.baidu.com/view/1088268.htm"
FT2-DEG_F,平方英尺华氏度,Square Foot Degree Fahrenheit,ft2·°F,,AreaTemperature,A0E0L2I0M0H1T0D0,0.09290304,M2-K,44.26895695524623,,它是一个用于测量热传导的系数的单位，表示在每平方英尺的面积上，温度差为1华氏度时，热量的传导率。常用于建筑学和工程学中。,"(Square Foot Degree Fahrenheit is an Imperial unit for Area Temperature expressed as (ft^{2}-degF).""",
FT2-HR-DEG_F,平方英尺小时华氏度,Square Foot Hour Degree Fahrenheit,ft2·h·°F,,AreaTimeTemperature,A0E0L2I0M0H1T1D0,,FT2-SEC-DEG_F,48.78291175293517,,这个单位用于表示材料的热传导性能，通常用于建筑和工程领域的热传导计算。,"(Square Foot Hour Degree Fahrenheit is an Imperial unit for Area Time Temperature expressed as (ft^{2}-hr-degF).""",
FT2-HR-DEG_F-PER-BTU_IT,平方英尺小时华氏度每英国热量单位,Square Foot Hour Degree Fahrenheit per BTU,ft2·h·°F/Btu_it,,ThermalInsulance,A0E0L0I0M-1H1T3D0,2.4459747724843912e-08,M2-K-PER-W,45.858116011234806,,它是用于测量建筑物或设备的热效率的单位，表示单位面积的建筑物或设备在一定时间内的热损失或热增益量。常用于 HVAC(暖通空调)和建筑物能效评估领域。,"(Square Foot Hour Degree Fahrenheit per BTU is an Imperial unit for Thermal Insulance expressed as ((degF-hr-ft^{2})/Btu).""",
FT2-PER-BTU_IT-IN,平方英尺每英国热量单位英寸,Square Foot per BTU Inch,ft2/Btu_it·in,,ThermalResistivity,A0E0L-1I0M-1H1T3D0,0.003466736,K-M-PER-W,41.873880898875385,,它是热传导系数的单位，表示单位面积、单位时间、单位温度差下，单位长度材料对热的传导量。常用于描述材料的绝热性能。,,
FT2-PER-HR,平方英尺每小时,Square Foot per Hour,ft2/h,,AreaPerTime,A0E0L2I0M0H0T-1D0,2.58e-05,M2-PER-SEC,50.83200158189183,,它是热通量单位，用于测量单位时间内通过单位面积的热量，常用于描述热传递率和热阻等物理量。在建筑/房地产领域中，也常用于测量房屋隔热效果和空调能耗等指标。,"(Square Foot per Hour is an Imperial unit for (Kinematic Viscosity) and  (Thermal Diffusivity) expressed as (ft^{2}/hr).""",
FT2-PER-SEC,平方英尺每秒,Square Foot per Second,ft2/s,,AreaPerTime,A0E0L2I0M0H0T-1D0,0.09290304,M2-PER-SEC,50.01527062514095,,它是一个流体力学中的单位，用于测量流量。它表示单位时间内通过一个平面区域的液体体积，单位为平方英尺每秒。常用于描述液体的流速和流量。,"""Square Foot per Second"" is an Imperial unit for  Kinematic Viscosity expressed as (ft^{2}/s).""",
FT2-SEC-DEG_F,平方英尺秒华氏度,Square Foot Second Degree Fahrenheit,ft2·s·°F,,AreaTimeTemperature,A0E0L2I0M0H1T1D0,1.0,FT2-SEC-DEG_F,48.78291175293517,,它是一个物理量的单位，用于描述热传导和热容量。具体地，它表示以华氏度为单位的温度变化，在一平方英尺面积上施加一个秒级的作用时间所导致的热量变化。,"(Square Foot Second Degree Fahrenheit is an Imperial unit for Area Time Temperature expressed as (ft^{2}cdot scdot degF).""",
FT3,立方英尺,Cubic Foot,ft3,,Volume,A0E0L3I0M0H0T0D0,0.028316847,M3,32.389000172522515,"体积,容积,立方米",立方英尺是用来测量物体体积的英制单位，表示物体所占空间容积为一英尺长、一英尺宽、一英尺高的立方体积。常用于测量建筑、房间和容器的大小。,"The cubic foot is an Imperial and US customary unit of volume, used in the United States and the United Kingdom. It is defined as the volume of a cube with sides of one foot (0.3048 m) in length. To calculate cubic feet multiply length X width X height. ",",http://baike.baidu.com/view/3883645.htm"
FT3-PER-DAY,立方英尺每天,Cubic Foot Per Day,ft3/d,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,3.28e-07,M3-PER-SEC,42.45294161281928,,它是用于测量气体、液体或固体的流量或速度的单位，表示每天通过一个立方英尺的量。常用于石油和天然气行业。,,
FT3-PER-DEG_F,立方英尺每华氏度,Cubic Foot Per Degree Fahrenheit,ft3/°F,,VolumeThermalExpansion,A0E0L3I0M0H-1T0D0,0.05097033,M3-PER-K,39.50266071728716,,它是热膨胀系数的单位，表示物体体积随温度变化的程度。具体来说，它表示当温度升高一华氏度时，每单位体积的物质会膨胀多少。,,
FT3-PER-HR,立方英尺每小时,Cubic Foot Per Hour,ft3/h,,VolumeFlowRate,A0E0L3I0M0H0T-1D0,7.87e-06,M3-PER-SEC,43.09446349435333,,它是一个测量气体流量的单位，表示每小时通过一个立方英尺的气体体积。常用于工业、建筑和航空领域。,,
FT3-PER-MIN,立方英尺每分钟,Cubic Foot per Minute,ft3/min,CFM,"VolumeFlowRate,VolumePerUnitTime",A0E0L3I0M0H0T-1D0,0.000471947,M3-PER-SEC,48.05479416594947,,CFM是测量空气流量的常用单位，表示每分钟通过一个面积为1平方英尺的流量所占据的体积空间大小，通常用于空调、风扇和排气设备等领域。,"""Cubic Foot per Minute"" is an Imperial unit for  Volume Per Unit Time expressed as (ft^3/min).""",
FT3-PER-MIN-FT2,立方英尺每分钟平方英尺,Cubic Foot Per Minute Square Foot,ft3/min·ft2,,Speed,A0E0L1I0M0H0T-1D0,0.00508,M-PER-SEC,45.605380927629135,,它是用于描述流体（通常是空气）流动的速度和密度的单位，常用于空调、通风和空气过滤系统等领域。具体表示每分钟通过每平方英尺区域的空气量，是一种衡量空气流动性能的重要指标。,,
FT3-PER-SEC,立方英尺每秒,Cubic Foot per Second,ft3/s,,"VolumeFlowRate,VolumePerUnitTime",A0E0L3I0M0H0T-1D0,0.028316847,M3-PER-SEC,42.161868062521954,,它是流量单位，用于测量单位时间内流过一定面积的液体或气体的体积。常用于水文学和工业流体力学中，例如河流流量和泵的流量。,"""Cubic Foot per Second"" is an Imperial unit for ( Volume Per Unit Time) expressed as (ft^3/s).""",
FT_H2O,英尺水柱,Foot of Water,ftH2O,,ForcePerArea,A0E0L-1I0M1H0T-2D0,2989.06692,PA,28.57173590333174,"压力,水位,流量",英尺水柱是一个压力单位，表示水柱高度在重力作用下所产生的压力。常用于测量液体的压力和流量。,"""Foot of Water"" is a unit for  Force Per Area expressed as (ftH2O).""",
FT_HG,英尺汞柱,Foot Of Mercury,,,ForcePerArea,A0E0L-1I0M1H0T-2D0,40636.66,PA,20.764297703904333,"气压,气象,高度,气压计","英尺汞柱是用于测量气压的单位，通常用于气象学中。它等于一英尺高度的水银柱所产生的压力。常见单位符号为“inHg”或“Hg”，也可以简写为“""。",,
FT_US,美国测量英尺,US Survey Foot,ft_us,,Length,A0E0L1I0M0H0T0D0,0.3048006,M,15.063309037911443,"长度,尺寸,地图",美国测量英尺是美国测量系统中的长度单位，等于0.3048006米，常用于土地测量和建筑设计。它也被称为国际英尺或美国英尺。,"(US Survey Foot) is a unit for Length expressed as (ftUS).""",
FUR,弗隆,Furlong,fur,,Length,A0E0L1I0M0H0T0D0,201.168,M,19.88014412870925,"热流,导热系数,热传导",弗隆是一个英制单位，用于测量长度，等于220码或1/8英里。它常用于马术比赛中，如赛马和障碍赛。,"A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile, equivalent to 220?yards, 660 feet, 40 rods, or 10 chains. The exact value of the furlong varies slightly among English-speaking countries. Five furlongs are approximately 1 kilometre (1.0058?km is a closer approximation). Since the original definition of the metre was one-quarter of one ten-millionth of the circumference of the Earth (along the great circle coincident with the meridian of longitude passing through Paris), the circumference of the Earth is about 40,000?km or about 200,000 furlongs. ",http://en.wikipedia.org/wiki/Furlong?oldid=492237369
